"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","53,819.15","54,075.45","54,516.35","53,586.30","","2.22%"
"03/30/2026","52,650.00","53,383.45","53,555.60","52,554.45","266.92B","-2.68%"
"03/27/2026","54,097.80","54,997.35","55,014.40","53,991.55","288.89B","-2.23%"
"03/25/2026","55,331.05","54,633.50","55,688.50","54,591.15","213.61B","2.30%"
"03/24/2026","54,087.00","53,878.30","54,315.95","52,958.80","187.90B","2.60%"
"03/23/2026","52,717.55","54,242.40","54,242.40","52,573.55","206.55B","-3.90%"
"03/20/2026","54,855.50","54,903.35","55,560.35","54,768.55","251.33B","0.67%"
"03/19/2026","54,492.30","55,391.20","55,419.85","54,253.70","202.08B","-3.19%"
"03/18/2026","56,289.85","55,289.10","56,497.80","55,253.30","203.52B","2.02%"
"03/17/2026","55,174.40","54,880.80","55,304.70","54,446.05","188.83B","1.02%"
"03/16/2026","54,614.95","54,652.55","55,013.30","53,712.55","197.25B","-0.27%"
"03/13/2026","54,761.10","55,997.15","56,140.55","54,633.60","227.88B","-2.65%"
"03/12/2026","56,253.75","56,142.50","56,684.30","55,378.65","243.87B","-0.37%"
"03/11/2026","56,461.10","57,335.20","57,656.90","56,363.40","201.63B","-1.25%"
"03/10/2026","57,177.65","56,993.70","57,341.75","56,573.30","198.09B","1.62%"
"03/09/2026","56,265.50","56,328.80","56,362.80","55,341.70","182.85B","-1.97%"
"03/06/2026","57,393.35","57,692.15","58,104.50","57,336.55","172.75B","-0.69%"
"03/05/2026","57,792.55","57,330.60","57,946.45","57,014.70","207.39B","1.52%"
"03/04/2026","56,925.15","57,339.25","57,399.00","56,505.30","219.72B","-2.16%"
"03/02/2026","58,180.50","57,090.80","58,814.35","57,074.75","210.09B","-1.58%"
"02/27/2026","59,115.60","59,746.40","59,774.90","59,014.10","431.34B","-1.14%"
"02/26/2026","59,798.15","59,542.55","59,879.55","59,404.75","209.89B","0.66%"
"02/25/2026","59,406.10","59,280.00","59,528.15","59,051.60","246.64B","0.58%"
"02/24/2026","59,066.35","59,091.45","59,199.35","58,489.15","238.24B","-0.32%"
"02/23/2026","59,255.65","59,612.80","59,698.50","59,014.30","237.81B","-0.43%"
"02/20/2026","59,513.95","59,087.75","59,690.50","58,989.75","179.67B","0.48%"
"02/19/2026","59,227.65","60,278.45","60,341.70","59,038.80","186.44B","-1.59%"
"02/18/2026","60,183.20","59,984.30","60,227.30","59,807.30","183.99B","0.50%"
"02/17/2026","59,881.70","59,713.55","59,951.40","59,543.70","164.96B","0.27%"
"02/16/2026","59,723.00","59,166.75","59,770.45","58,917.30","178.54B","0.48%"
"02/13/2026","59,438.00","59,978.45","59,981.00","59,194.25","233.76B","-1.71%"
"02/12/2026","60,470.85","60,695.80","60,699.55","60,194.10","207.20B","-0.47%"
"02/11/2026","60,754.55","60,812.10","60,815.20","60,431.65","223.63B","0.03%"
"02/10/2026","60,735.90","60,723.00","60,819.70","60,442.40","250.31B","0.49%"
"02/09/2026","60,441.15","59,896.20","60,498.05","59,767.55","222.22B","1.58%"
"02/06/2026","59,502.70","59,400.75","59,573.60","58,757.80","222.16B","-0.02%"
"02/05/2026","59,517.10","59,662.50","59,672.30","59,069.65","205.58B","-0.28%"
"02/04/2026","59,683.60","59,242.05","59,769.50","58,794.35","229.17B","0.63%"
"02/03/2026","59,307.10","60,026.80","60,456.80","59,034.70","324.09B","2.84%"
"02/02/2026","57,667.60","57,128.60","57,826.85","56,381.35","211.58B","0.96%"
"02/01/2026","57,120.80","58,435.70","58,650.15","56,126.55","","-2.24%"
