"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","15,709.80","15,618.80","15,848.15","15,538.90","","3.33%"
"03/30/2026","15,203.80","15,435.40","15,493.95","15,168.50","103.36B","-2.66%"
"03/27/2026","15,620.00","15,796.40","15,801.50","15,574.90","147.63B","-1.74%"
"03/25/2026","15,896.55","15,665.60","15,985.75","15,621.90","140.16B","2.59%"
"03/24/2026","15,495.20","15,459.70","15,534.70","15,115.70","126.05B","2.63%"
"03/23/2026","15,098.70","15,565.30","15,565.30","14,986.00","101.70B","-3.94%"
"03/20/2026","15,718.60","15,829.70","15,929.10","15,694.90","122.97B","0.09%"
"03/19/2026","15,704.25","15,933.15","15,959.40","15,656.90","82.53B","-2.94%"
"03/18/2026","16,179.15","15,976.10","16,230.70","15,946.30","131.33B","1.67%"
"03/17/2026","15,912.90","15,888.25","15,957.60","15,765.70","118.42B","0.65%"
"03/16/2026","15,810.35","15,858.25","15,892.20","15,526.75","137.85B","-0.53%"
"03/13/2026","15,895.25","16,246.90","16,253.55","15,832.90","105.90B","-2.51%"
"03/12/2026","16,305.25","16,337.15","16,423.05","16,097.45","112.30B","-0.67%"
"03/11/2026","16,414.85","16,521.85","16,652.85","16,384.25","101.86B","-0.36%"
"03/10/2026","16,473.80","16,339.40","16,512.75","16,268.95","113.78B","2.12%"
"03/09/2026","16,132.20","16,199.35","16,199.35","15,896.95","110.42B","-2.22%"
"03/06/2026","16,498.90","16,524.35","16,658.45","16,481.65","128.12B","-0.24%"
"03/05/2026","16,538.80","16,397.10","16,567.70","16,311.55","127.50B","1.58%"
"03/04/2026","16,281.50","16,412.35","16,413.40","16,156.35","166.45B","-2.11%"
"03/02/2026","16,632.40","16,289.60","16,839.20","16,284.70","172.66B","-1.75%"
"02/27/2026","16,928.90","17,109.75","17,112.00","16,904.50","161.00B","-1.10%"
"02/26/2026","17,117.65","17,143.60","17,206.00","17,036.30","113.12B","-0.01%"
"02/25/2026","17,118.70","17,032.75","17,146.90","17,015.90","87.88B","0.94%"
"02/24/2026","16,958.65","17,005.75","17,024.60","16,842.00","86.46B","-0.55%"
"02/23/2026","17,051.95","17,119.55","17,202.30","16,984.90","85.85B","0.29%"
"02/20/2026","17,002.15","16,995.55","17,087.60","16,937.50","93.42B","-0.11%"
"02/19/2026","17,020.35","17,294.60","17,308.35","16,970.95","118.17B","-1.27%"
"02/18/2026","17,239.25","17,184.10","17,257.60","17,133.50","92.67B","0.54%"
"02/17/2026","17,146.70","17,050.95","17,166.20","17,011.45","105.08B","0.56%"
"02/16/2026","17,050.90","16,927.00","17,062.75","16,822.25","107.35B","0.11%"
"02/13/2026","17,032.90","17,193.65","17,196.35","16,951.90","80.69B","-1.79%"
"02/12/2026","17,344.10","17,433.15","17,435.00","17,275.20","94.36B","-0.64%"
"02/11/2026","17,455.00","17,482.30","17,483.25","17,362.10","126.83B","0.02%"
"02/10/2026","17,451.20","17,447.30","17,508.85","17,397.20","130.67B","0.38%"
"02/09/2026","17,385.90","17,082.55","17,404.15","17,045.60","133.71B","2.64%"
"02/06/2026","16,938.65","16,914.40","16,956.95","16,705.35","124.18B","-0.27%"
"02/05/2026","16,983.90","17,151.35","17,151.40","16,896.80","117.26B","-1.29%"
"02/04/2026","17,205.10","16,993.25","17,234.70","16,918.25","140.89B","1.27%"
"02/03/2026","16,988.95","17,295.60","17,366.10","16,938.75","183.29B","2.82%"
"02/02/2026","16,523.35","16,381.95","16,583.70","16,136.90","163.64B","0.64%"
"02/01/2026","16,418.15","16,767.70","16,780.50","16,155.35","","-2.73%"
