"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","23,272.75","23,472.25","23,527.00","23,207.85","886.32M","1.74%"
"03/30/2026","22,875.50","23,114.15","23,289.50","22,829.95","1.08B","-2.24%"
"03/27/2026","23,400.05","23,782.95","23,792.85","23,385.25","1.06B","-2.15%"
"03/25/2026","23,915.15","23,672.50","24,072.60","23,672.05","818.73M","1.77%"
"03/24/2026","23,499.30","23,489.50","23,654.75","23,192.55","873.25M","1.74%"
"03/23/2026","23,098.25","23,478.80","23,504.20","23,054.30","869.19M","-2.81%"
"03/20/2026","23,766.10","23,773.25","24,021.75","23,725.05","1.01B","0.48%"
"03/19/2026","23,651.95","23,890.10","24,043.40","23,575.15","769.60M","-3.25%"
"03/18/2026","24,446.45","24,293.20","24,529.60","24,283.65","624.40M","0.86%"
"03/17/2026","24,237.80","24,143.80","24,310.70","23,992.70","709.42M","0.76%"
"03/16/2026","24,055.40","23,814.95","24,155.85","23,608.95","902.69M","0.86%"
"03/13/2026","23,849.25","24,205.75","24,237.00","23,810.80","806.29M","-2.16%"
"03/12/2026","24,375.10","24,386.55","24,564.70","24,235.70","861.70M","-0.81%"
"03/11/2026","24,574.55","24,941.60","25,020.50","24,538.80","639.78M","-1.54%"
"03/10/2026","24,957.80","24,955.60","25,001.95","24,753.05","701.50M","1.10%"
"03/09/2026","24,685.65","24,556.75","24,733.15","24,338.75","824.19M","-1.79%"
"03/06/2026","25,134.90","25,316.20","25,375.20","25,101.70","685.03M","-1.12%"
"03/05/2026","25,420.10","25,253.10","25,505.10","25,175.20","782.70M","1.20%"
"03/04/2026","25,118.25","25,087.10","25,239.20","24,961.15","935.80M","-1.74%"
"03/02/2026","25,563.50","25,308.30","25,699.55","25,288.75","821.02M","-1.29%"
"02/27/2026","25,897.55","26,195.55","26,211.45","25,861.85","681.62M","-1.26%"
"02/26/2026","26,226.85","26,272.10","26,290.35","26,113.25","638.03M","0.10%"
"02/25/2026","26,200.50","26,204.15","26,347.35","26,131.45","686.56M","0.34%"
"02/24/2026","26,112.20","26,280.45","26,280.45","25,988.00","652.18M","-0.92%"
"02/23/2026","26,355.40","26,333.40","26,425.25","26,249.15","503.64M","0.53%"
"02/20/2026","26,217.30","26,042.60","26,307.40","26,017.50","505.80M","0.49%"
"02/19/2026","26,090.70","26,533.65","26,542.70","26,022.70","472.25M","-1.49%"
"02/18/2026","26,484.60","26,404.40","26,495.20","26,302.20","496.17M","0.42%"
"02/17/2026","26,375.10","26,273.10","26,406.15","26,214.00","539.94M","0.23%"
"02/16/2026","26,315.35","26,034.70","26,331.30","25,981.45","429.98M","0.85%"
"02/13/2026","26,092.40","26,212.25","26,252.80","26,063.75","671.27M","-1.34%"
"02/12/2026","26,448.05","26,552.25","26,552.25","26,381.90","629.05M","-0.54%"
"02/11/2026","26,592.30","26,619.10","26,626.15","26,524.35","566.86M","0.15%"
"02/10/2026","26,552.10","26,548.40","26,601.05","26,488.70","700.32M","0.24%"
"02/09/2026","26,487.80","26,487.75","26,508.15","26,380.40","597.32M","0.72%"
"02/06/2026","26,297.30","26,204.25","26,309.25","26,069.50","633.15M","0.19%"
"02/05/2026","26,248.30","26,351.75","26,354.05","26,182.80","597.07M","-0.51%"
"02/04/2026","26,382.70","26,270.80","26,419.90","26,129.25","765.60M","0.26%"
"02/03/2026","26,313.20","26,849.75","26,893.85","26,216.50","1.06B","2.56%"
"02/02/2026","25,655.35","25,366.85","25,677.05","25,212.40","763.67M","1.06%"
"02/01/2026","25,385.85","25,894.25","26,013.00","25,105.35","751.86M","-1.99%"
