"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","24,238.85","24,557.40","24,643.55","24,133.95","136.68M","1.97%"
"03/30/2026","23,769.60","23,969.10","24,193.10","23,708.20","114.98M","-2.39%"
"03/27/2026","24,351.95","24,834.25","24,847.70","24,301.40","81.90M","-2.82%"
"03/25/2026","25,058.60","24,875.55","25,267.95","24,814.50","52.54M","2.22%"
"03/24/2026","24,515.25","24,458.45","24,728.30","24,055.45","68.11M","2.43%"
"03/23/2026","23,934.75","24,433.45","24,433.45","23,865.65","67.09M","-3.16%"
"03/20/2026","24,715.90","24,635.75","24,955.55","24,611.30","84.23M","0.84%"
"03/19/2026","24,509.90","25,078.80","25,093.15","24,380.55","56.87M","-4.25%"
"03/18/2026","25,598.85","25,262.25","25,703.70","25,250.80","47.87M","1.92%"
"03/17/2026","25,117.10","24,703.90","25,195.45","24,518.70","58.48M","2.11%"
"03/16/2026","24,599.10","24,085.95","24,718.75","23,863.40","62.50M","1.67%"
"03/13/2026","24,195.10","24,784.20","24,918.25","24,100.60","86.13M","-3.60%"
"03/12/2026","25,098.00","25,688.30","25,721.30","25,046.00","92.79M","-3.19%"
"03/11/2026","25,926.00","26,761.75","26,851.65","25,875.20","69.39M","-3.15%"
"03/10/2026","26,770.55","26,462.75","26,840.70","26,200.40","60.52M","3.10%"
"03/09/2026","25,965.95","26,478.45","26,478.45","25,733.50","64.09M","-4.10%"
"03/06/2026","27,076.40","27,247.20","27,321.05","27,042.40","48.60M","-1.06%"
"03/05/2026","27,366.80","27,053.50","27,471.45","26,909.80","61.27M","1.86%"
"03/04/2026","26,867.15","26,979.40","27,012.55","26,607.20","74.06M","-2.44%"
"03/02/2026","27,540.10","27,196.40","27,951.85","27,133.55","65.16M","-2.20%"
"02/27/2026","28,158.85","28,623.20","28,687.00","28,094.25","63.90M","-1.86%"
"02/26/2026","28,693.40","28,556.85","28,719.60","28,459.45","40.83M","0.80%"
"02/25/2026","28,466.50","27,969.15","28,574.25","27,917.50","43.54M","1.85%"
"02/24/2026","27,950.00","27,932.50","27,991.95","27,772.95","42.69M","-0.45%"
"02/23/2026","28,077.00","27,974.05","28,159.30","27,913.95","38.21M","0.83%"
"02/20/2026","27,846.80","27,734.70","27,933.85","27,617.45","40.83M","0.41%"
"02/19/2026","27,734.00","28,348.80","28,496.85","27,670.45","41.23M","-2.10%"
"02/18/2026","28,327.60","28,202.65","28,376.80","28,085.60","32.55M","0.54%"
"02/17/2026","28,174.55","27,991.35","28,197.90","27,866.60","39.83M","0.52%"
"02/16/2026","28,028.20","28,204.15","28,308.05","27,928.30","33.61M","-0.73%"
"02/13/2026","28,234.30","28,305.55","28,503.15","28,161.25","71.24M","-0.95%"
"02/12/2026","28,504.05","28,607.15","28,615.05","28,360.10","92.56M","-0.12%"
"02/11/2026","28,538.70","28,351.90","28,811.25","28,296.20","137.27M","1.30%"
"02/10/2026","28,173.20","27,866.25","28,279.85","27,771.10","84.55M","1.37%"
"02/09/2026","27,791.45","27,673.95","27,819.75","27,479.05","47.88M","0.99%"
"02/06/2026","27,519.55","27,602.55","27,643.45","27,307.55","58.27M","-0.52%"
"02/05/2026","27,664.50","27,880.25","27,882.95","27,463.75","45.53M","-0.58%"
"02/04/2026","27,825.40","27,565.60","27,932.40","27,427.40","54.90M","1.18%"
"02/03/2026","27,500.30","28,088.10","28,095.85","27,271.80","102.05M","2.81%"
"02/02/2026","26,749.15","26,177.70","26,784.70","26,006.70","52.60M","2.13%"
"02/01/2026","26,190.65","26,855.80","27,144.85","25,928.50","27.84M","-2.09%"
