"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","51,448.65","51,433.90","52,024.70","51,137.10","370.08M","2.33%"
"03/30/2026","50,275.35","51,527.90","51,624.50","50,105.25","564.85M","-3.82%"
"03/27/2026","52,274.60","53,244.25","53,292.50","52,211.20","652.96M","-2.67%"
"03/25/2026","53,708.10","53,024.75","54,146.15","53,024.75","348.62M","2.10%"
"03/24/2026","52,605.65","52,384.80","52,949.15","51,827.50","340.58M","2.27%"
"03/23/2026","51,437.75","52,576.10","52,665.30","51,323.60","397.27M","-3.72%"
"03/20/2026","53,427.05","53,548.20","54,382.45","53,297.55","403.46M","-0.04%"
"03/19/2026","53,451.00","53,474.55","54,150.30","53,240.60","395.35M","-3.39%"
"03/18/2026","55,326.05","54,927.05","55,554.15","54,689.10","223.22M","0.82%"
"03/17/2026","54,876.00","54,649.10","54,996.00","54,113.15","277.12M","0.85%"
"03/16/2026","54,413.40","53,721.50","54,664.15","53,258.15","390.20M","1.22%"
"03/13/2026","53,757.85","54,592.05","54,713.75","53,675.70","327.50M","-2.44%"
"03/12/2026","55,100.95","55,008.20","55,636.95","54,760.55","311.27M","-1.14%"
"03/11/2026","55,735.75","56,790.40","56,938.40","55,631.95","261.03M","-2.13%"
"03/10/2026","56,950.80","56,583.85","57,097.05","56,387.20","346.82M","1.66%"
"03/09/2026","56,019.80","56,121.40","56,274.15","55,270.60","374.10M","-3.05%"
"03/06/2026","57,783.25","58,629.60","58,807.15","57,696.40","256.86M","-2.15%"
"03/05/2026","59,055.85","59,008.25","59,274.35","58,506.40","273.53M","0.51%"
"03/04/2026","58,755.25","58,447.15","59,058.40","58,393.55","363.10M","-1.81%"
"03/02/2026","59,839.65","59,204.30","60,177.50","59,148.00","387.10M","-1.14%"
"02/27/2026","60,529.00","61,057.45","61,086.45","60,438.95","369.23M","-1.08%"
"02/26/2026","61,187.70","61,193.90","61,284.75","60,813.30","602.73M","0.24%"
"02/25/2026","61,043.35","61,175.05","61,317.55","60,816.75","321.65M","-0.01%"
"02/24/2026","61,047.30","61,392.10","61,435.65","60,801.85","587.73M","-0.35%"
"02/23/2026","61,264.25","61,145.55","61,517.80","61,029.15","841.88M","0.15%"
"02/20/2026","61,172.00","60,627.85","61,360.50","60,562.35","219.80M","0.71%"
"02/19/2026","60,739.55","61,660.85","61,678.80","60,592.90","190.64M","-1.32%"
"02/18/2026","61,550.80","61,255.35","61,596.85","61,100.90","218.06M","0.62%"
"02/17/2026","61,174.00","60,821.15","61,241.60","60,560.00","264.04M","0.37%"
"02/16/2026","60,949.10","59,947.80","61,011.30","59,861.10","168.63M","1.27%"
"02/13/2026","60,186.65","60,504.40","60,621.90","60,073.55","236.60M","-0.91%"
"02/12/2026","60,739.75","60,786.15","60,864.40","60,597.65","267.00M","-0.01%"
"02/11/2026","60,745.35","60,670.25","60,779.95","60,444.65","235.12M","0.20%"
"02/10/2026","60,626.40","60,740.80","60,797.55","60,531.55","215.86M","-0.07%"
"02/09/2026","60,669.35","60,805.20","60,876.20","60,495.70","263.38M","0.91%"
"02/06/2026","60,120.55","59,967.10","60,149.90","59,644.55","204.84M","0.09%"
"02/05/2026","60,063.65","60,315.35","60,328.30","59,881.05","231.38M","-0.29%"
"02/04/2026","60,238.15","60,163.35","60,389.40","59,891.75","255.63M","0.33%"
"02/03/2026","60,041.30","61,411.20","61,764.85","59,793.20","368.35M","2.43%"
"02/02/2026","58,619.00","58,239.30","58,687.05","57,829.85","282.47M","0.35%"
"02/01/2026","58,417.20","59,607.65","59,865.70","57,783.20","204.31M","-2.00%"
