"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","46,135.95","46,499.45","46,499.45","45,888.50","42.23M","1.31%"
"03/30/2026","45,538.65","46,141.70","46,412.20","45,436.00","56.90M","-1.91%"
"03/27/2026","46,427.20","47,080.55","47,112.95","46,346.80","49.94M","-1.81%"
"03/25/2026","47,283.35","46,690.25","47,673.15","46,549.25","54.39M","1.89%"
"03/24/2026","46,408.30","46,498.50","46,822.70","45,777.20","56.51M","1.25%"
"03/23/2026","45,837.05","46,699.05","46,743.95","45,740.90","60.77M","-2.49%"
"03/20/2026","47,007.55","47,321.90","47,688.45","46,925.35","79.11M","0.31%"
"03/19/2026","46,861.95","47,549.15","47,914.55","46,740.35","35.21M","-2.53%"
"03/18/2026","48,079.00","48,215.35","48,368.70","47,997.00","38.15M","-0.05%"
"03/17/2026","48,104.45","48,612.60","48,612.60","48,040.15","43.85M","-0.75%"
"03/16/2026","48,468.85","48,005.85","48,622.35","47,826.35","61.34M","1.14%"
"03/13/2026","47,924.15","48,047.80","48,642.85","47,852.25","50.86M","-0.55%"
"03/12/2026","48,189.15","48,909.80","48,929.00","48,036.50","57.31M","-1.77%"
"03/11/2026","49,059.70","49,649.55","49,685.50","48,964.95","33.52M","-1.10%"
"03/10/2026","49,603.55","49,627.50","49,717.55","49,288.10","33.35M","0.84%"
"03/09/2026","49,192.40","49,299.40","49,321.60","48,740.95","29.85M","-1.56%"
"03/06/2026","49,970.60","49,847.65","50,173.60","49,679.50","44.35M","-0.06%"
"03/05/2026","50,000.80","49,985.85","50,186.45","49,354.80","38.50M","0.41%"
"03/04/2026","49,797.50","50,052.35","50,315.80","49,742.25","46.70M","-1.88%"
"03/02/2026","50,751.65","49,968.25","50,879.50","49,954.15","40.15M","-0.76%"
"02/27/2026","51,142.20","51,801.35","51,987.55","51,039.10","36.69M","-1.69%"
"02/26/2026","52,023.00","52,156.55","52,197.55","51,741.70","23.59M","-0.16%"
"02/25/2026","52,105.30","52,444.65","52,519.90","51,864.00","28.31M","-0.25%"
"02/24/2026","52,235.25","51,911.35","52,338.30","51,815.70","29.30M","0.19%"
"02/23/2026","52,136.35","51,905.70","52,186.20","51,801.45","25.54M","0.70%"
"02/20/2026","51,772.70","51,443.85","51,969.25","51,401.45","22.06M","0.56%"
"02/19/2026","51,483.60","52,548.65","52,548.65","51,381.35","30.27M","-1.76%"
"02/18/2026","52,406.50","51,860.60","52,428.90","51,759.40","51.17M","1.21%"
"02/17/2026","51,778.30","51,246.20","51,824.15","51,237.55","48.97M","0.90%"
"02/16/2026","51,318.85","50,809.55","51,371.90","50,680.15","22.90M","0.82%"
"02/13/2026","50,902.15","51,690.05","51,690.05","50,811.85","24.40M","-1.90%"
"02/12/2026","51,885.75","52,212.70","52,221.75","51,571.50","30.88M","-0.51%"
"02/11/2026","52,152.10","52,335.95","52,411.10","51,967.70","38.35M","0.04%"
"02/10/2026","52,130.45","52,105.10","52,183.55","51,889.05","28.02M","0.16%"
"02/09/2026","52,047.30","52,041.00","52,098.45","51,582.80","53.19M","0.32%"
"02/06/2026","51,882.75","50,667.85","51,935.55","50,383.90","85.98M","2.27%"
"02/05/2026","50,731.65","50,915.05","51,403.10","50,615.90","40.93M","-0.38%"
"02/04/2026","50,922.75","50,938.20","51,244.90","50,725.90","38.02M","0.23%"
"02/03/2026","50,806.65","51,534.70","51,840.25","50,505.55","77.48M","0.36%"
"02/02/2026","50,623.20","50,103.90","50,696.45","49,336.50","57.56M","1.16%"
"02/01/2026","50,042.80","51,316.60","51,324.80","49,741.65","43.61M","-2.29%"
