"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","29,669.05","29,943.15","30,257.25","29,563.00","32.09M","2.09%"
"03/30/2026","29,062.60","29,225.60","29,439.05","28,961.40","61.89M","-1.62%"
"03/27/2026","29,541.65","29,721.00","30,029.55","29,461.20","61.92M","-0.44%"
"03/25/2026","29,671.30","29,552.15","29,950.05","29,413.45","46.69M","0.08%"
"03/24/2026","29,648.90","29,572.75","29,926.35","29,210.70","41.76M","1.72%"
"03/23/2026","29,147.05","28,847.90","29,295.70","28,613.80","42.97M","-0.18%"
"03/20/2026","29,199.60","28,993.00","29,322.40","28,844.45","69.90M","2.17%"
"03/19/2026","28,579.60","29,141.95","29,321.85","28,477.50","32.02M","-3.31%"
"03/18/2026","29,559.30","28,912.05","30,055.60","28,912.05","54.43M","2.78%"
"03/17/2026","28,760.90","29,080.75","29,080.75","28,288.05","47.93M","-0.97%"
"03/16/2026","29,042.55","28,934.60","29,202.70","28,586.95","38.92M","-0.10%"
"03/13/2026","29,071.30","29,381.65","29,508.45","28,936.75","29.59M","-1.72%"
"03/12/2026","29,579.45","29,587.05","29,790.80","29,322.80","40.58M","-0.24%"
"03/11/2026","29,651.70","30,043.85","30,231.40","29,598.30","47.68M","-1.24%"
"03/10/2026","30,024.05","30,337.60","30,360.15","29,741.05","33.68M","-0.46%"
"03/09/2026","30,162.05","29,688.05","30,241.10","29,533.90","46.51M","0.08%"
"03/06/2026","30,138.40","30,074.60","30,664.95","30,062.75","28.25M","0.04%"
"03/05/2026","30,126.80","30,554.85","30,563.35","29,823.15","34.60M","-0.59%"
"03/04/2026","30,305.30","30,092.20","30,579.45","30,092.20","47.88M","0.11%"
"03/02/2026","30,272.95","30,020.15","30,587.30","29,889.50","30.93M","-1.08%"
"02/27/2026","30,603.85","31,145.75","31,305.80","30,546.00","58.71M","0.16%"
"02/26/2026","30,554.20","30,797.05","31,112.20","30,459.80","41.39M","0.09%"
"02/25/2026","30,526.35","30,343.90","30,999.75","30,340.95","50.64M","1.57%"
"02/24/2026","30,053.50","31,031.85","31,056.45","29,875.00","93.79M","-4.74%"
"02/23/2026","31,550.50","31,987.80","32,051.70","31,416.55","50.75M","-1.42%"
"02/20/2026","32,004.05","32,098.95","32,339.80","31,804.75","41.72M","-0.98%"
"02/19/2026","32,319.40","32,875.10","33,167.60","32,195.95","40.35M","-1.07%"
"02/18/2026","32,668.30","33,133.85","33,169.30","32,169.15","53.69M","-1.23%"
"02/17/2026","33,075.05","32,793.75","33,703.10","32,650.45","66.56M","1.03%"
"02/16/2026","32,738.05","32,693.00","32,809.35","32,299.55","49.06M","0.17%"
"02/13/2026","32,681.50","31,487.40","32,932.75","31,422.60","112.45M","-1.44%"
"02/12/2026","33,160.20","34,439.00","34,488.80","33,058.20","97.10M","-5.51%"
"02/11/2026","35,095.15","35,788.65","35,857.65","35,013.60","26.92M","-1.76%"
"02/10/2026","35,722.20","35,656.95","36,059.65","35,427.40","33.77M","0.30%"
"02/09/2026","35,616.65","35,840.90","36,056.45","35,544.05","25.07M","0.02%"
"02/06/2026","35,611.05","36,079.85","36,105.85","35,211.95","41.07M","-1.47%"
"02/05/2026","36,143.30","36,215.65","36,621.95","36,023.90","33.12M","-0.56%"
"02/04/2026","36,345.65","37,165.35","37,176.70","35,809.50","84.60M","-5.87%"
"02/03/2026","38,611.75","40,301.40","40,301.40","38,550.50","47.48M","1.41%"
"02/02/2026","38,074.15","38,396.00","38,413.15","37,807.10","26.21M","-0.47%"
"02/01/2026","38,252.95","37,936.95","38,833.75","37,297.55","34.22M","0.57%"
