"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","11,412.05","11,447.55","11,572.75","11,377.45","188.92M","2.46%"
"03/30/2026","11,138.40","11,154.90","11,340.60","11,087.95","238.09M","-0.21%"
"03/27/2026","11,161.65","11,224.50","11,292.85","11,148.30","160.96M","-1.59%"
"03/25/2026","11,342.20","11,195.30","11,387.65","11,172.30","131.96M","2.56%"
"03/24/2026","11,059.15","11,114.20","11,150.80","10,909.90","137.08M","1.80%"
"03/23/2026","10,863.45","11,215.15","11,223.80","10,819.85","181.86M","-4.81%"
"03/20/2026","11,412.75","11,295.55","11,583.20","11,291.35","219.21M","1.45%"
"03/19/2026","11,249.35","11,389.55","11,521.10","11,198.80","119.72M","-3.24%"
"03/18/2026","11,625.45","11,635.75","11,676.15","11,503.00","112.55M","-0.10%"
"03/17/2026","11,637.35","11,380.60","11,660.10","11,273.60","156.35M","2.82%"
"03/16/2026","11,318.00","11,262.25","11,415.80","11,202.00","146.17M","0.23%"
"03/13/2026","11,292.50","11,801.15","11,817.10","11,249.50","167.97M","-4.82%"
"03/12/2026","11,863.90","11,833.75","11,917.50","11,580.90","110.74M","0.35%"
"03/11/2026","11,822.10","11,929.20","12,103.95","11,793.65","115.78M","-0.39%"
"03/10/2026","11,868.50","11,835.35","11,907.45","11,688.45","102.66M","1.54%"
"03/09/2026","11,688.80","11,751.70","11,803.85","11,516.65","144.40M","-2.60%"
"03/06/2026","12,000.45","12,013.65","12,166.30","11,922.35","125.87M","-0.40%"
"03/05/2026","12,049.20","11,861.05","12,200.90","11,849.60","191.30M","2.29%"
"03/04/2026","11,779.75","12,073.00","12,105.20","11,671.50","222.67M","-3.99%"
"03/02/2026","12,269.80","11,909.90","12,344.80","11,896.00","140.56M","0.24%"
"02/27/2026","12,240.65","12,416.55","12,437.60","12,217.80","122.07M","-1.67%"
"02/26/2026","12,448.00","12,453.45","12,457.00","12,348.90","117.46M","0.39%"
"02/25/2026","12,399.40","12,180.95","12,430.15","12,155.45","220.41M","2.70%"
"02/24/2026","12,073.85","11,934.45","12,102.15","11,912.45","140.33M","0.93%"
"02/23/2026","11,962.75","12,109.80","12,112.90","11,875.30","101.49M","-0.23%"
"02/20/2026","11,989.95","11,856.35","12,029.60","11,812.25","108.61M","1.25%"
"02/19/2026","11,842.40","12,079.45","12,098.25","11,799.65","104.45M","-1.20%"
"02/18/2026","11,985.75","11,856.10","12,002.40","11,844.70","123.52M","1.33%"
"02/17/2026","11,828.40","11,903.25","11,921.65","11,713.05","103.09M","-1.06%"
"02/16/2026","11,955.00","11,776.55","11,970.40","11,749.10","85.60M","0.69%"
"02/13/2026","11,872.80","12,073.90","12,086.50","11,841.25","145.22M","-3.31%"
"02/12/2026","12,279.20","12,257.30","12,325.10","12,206.45","122.14M","0.02%"
"02/11/2026","12,276.55","12,278.50","12,291.35","12,175.80","141.02M","0.39%"
"02/10/2026","12,228.30","12,194.10","12,287.60","12,098.00","206.01M","0.81%"
"02/09/2026","12,129.45","12,129.05","12,243.15","12,019.75","180.23M","1.56%"
"02/06/2026","11,943.15","11,823.75","11,959.55","11,756.00","154.23M","0.18%"
"02/05/2026","11,921.20","11,838.20","11,934.15","11,726.10","178.65M","-1.02%"
"02/04/2026","12,044.25","11,959.70","12,104.30","11,937.50","193.89M","1.27%"
"02/03/2026","11,893.20","11,984.55","12,041.35","11,746.25","241.23M","2.87%"
"02/02/2026","11,561.55","11,343.10","11,596.35","11,227.90","273.15M","1.88%"
"02/01/2026","11,348.65","11,429.50","11,676.80","11,187.20","326.89M","-4.05%"
