"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","22,011.60","22,531.60","22,779.20","21,910.65","25.24M","-0.99%"
"03/30/2026","22,232.25","22,412.90","22,468.10","22,205.90","28.21M","-1.48%"
"03/27/2026","22,565.60","22,612.70","22,758.30","22,484.05","34.21M","-0.50%"
"03/25/2026","22,679.75","22,381.35","22,825.55","22,294.20","21.48M","1.98%"
"03/24/2026","22,239.80","22,305.95","22,364.30","21,993.95","22.21M","0.85%"
"03/23/2026","22,053.10","22,461.80","22,462.90","21,983.70","20.53M","-2.16%"
"03/20/2026","22,540.70","22,277.95","22,628.55","22,268.50","32.70M","1.99%"
"03/19/2026","22,101.65","22,413.10","22,503.45","22,040.55","15.18M","-2.35%"
"03/18/2026","22,632.60","22,633.70","22,774.75","22,584.30","18.24M","0.16%"
"03/17/2026","22,597.55","22,632.80","22,733.70","22,492.95","17.22M","0.22%"
"03/16/2026","22,547.20","22,800.15","22,965.25","22,369.80","21.22M","-1.25%"
"03/13/2026","22,832.20","23,198.80","23,317.10","22,780.65","25.79M","-1.90%"
"03/12/2026","23,275.20","23,299.70","23,388.00","23,083.20","24.57M","-0.31%"
"03/11/2026","23,348.05","23,311.75","23,540.90","23,283.10","21.88M","0.41%"
"03/10/2026","23,253.65","23,042.55","23,305.10","23,039.35","21.85M","1.39%"
"03/09/2026","22,933.75","22,638.85","22,977.95","22,506.25","21.12M","-0.16%"
"03/06/2026","22,970.20","23,005.05","23,131.70","22,877.55","14.61M","-0.15%"
"03/05/2026","23,005.50","22,703.60","23,082.80","22,703.60","16.46M","1.47%"
"03/04/2026","22,672.20","22,702.55","22,814.35","22,528.20","21.86M","-1.24%"
"03/02/2026","22,956.70","22,385.30","22,994.55","22,354.10","17.94M","0.02%"
"02/27/2026","22,952.35","23,257.80","23,301.85","22,917.10","25.00M","-1.50%"
"02/26/2026","23,301.65","23,106.95","23,436.95","23,047.85","26.91M","1.08%"
"02/25/2026","23,051.85","22,685.50","23,071.95","22,617.35","19.54M","1.85%"
"02/24/2026","22,632.05","22,557.25","22,692.80","22,481.65","18.18M","0.24%"
"02/23/2026","22,578.55","22,558.80","22,608.75","22,450.00","16.47M","0.56%"
"02/20/2026","22,452.40","22,400.45","22,515.00","22,320.15","14.75M","0.10%"
"02/19/2026","22,429.10","22,578.95","22,657.95","22,375.75","16.02M","-0.50%"
"02/18/2026","22,541.95","22,529.50","22,584.95","22,417.30","14.89M","0.21%"
"02/17/2026","22,494.90","22,390.90","22,512.75","22,318.40","12.77M","0.41%"
"02/16/2026","22,403.15","22,184.60","22,457.60","22,121.70","18.23M","0.94%"
"02/13/2026","22,194.90","22,325.90","22,408.50","22,134.00","21.64M","-0.85%"
"02/12/2026","22,386.30","22,486.10","22,486.10","22,248.65","22.42M","-0.21%"
"02/11/2026","22,434.20","22,280.45","22,581.00","22,158.10","18.37M","1.01%"
"02/10/2026","22,210.50","22,387.40","22,438.25","22,161.30","29.83M","-0.36%"
"02/09/2026","22,290.70","22,126.30","22,328.60","21,974.15","18.73M","1.50%"
"02/06/2026","21,961.35","22,094.50","22,103.95","21,810.25","13.25M","-0.72%"
"02/05/2026","22,119.90","22,138.90","22,163.85","21,919.00","14.72M","-0.03%"
"02/04/2026","22,125.80","22,275.80","22,323.75","22,009.85","18.21M","-0.34%"
"02/03/2026","22,200.25","22,470.35","22,564.10","22,086.05","32.40M","3.02%"
"02/02/2026","21,549.55","21,629.80","21,640.60","21,188.55","20.52M","0.07%"
"02/01/2026","21,535.30","21,874.70","21,917.75","21,436.70","17.44M","-0.83%"
